impression_date,ad_format,audience,cost,impressions,installs,purchasers,revenue_d7
2023-04-15,rewarded video,Tier 3,516.378623,25711,152,0,0.0
2023-04-15,banner display,Tier 1,501.217621999999,20000,0,1,28.1669999999999
2023-04-15,interstitial display,Tier 1,180.247028,1506,10,1,1.393
2023-04-15,interstitial display,Tier 3,738.095252,50557,413,0,0.0
2023-04-15,rewarded video,Tier 1,589.872586,1959,5,3,8.97
2023-04-15,interstitial display,Tier 2,5009.059472,34369,87,22,137.825
2023-04-15,banner display,Tier 2,2329.973403,152720,6,1,11.1252
2023-04-16,interstitial display,Tier 1,178.924368999999,1490,15,4,20.272
2023-04-16,interstitial display,Tier 2,5033.00778099999,34321,91,28,202.579999999999
2023-04-16,interstitial display,Tier 3,760.179558,51774,429,3,13.373
2023-04-16,banner display,Tier 2,2418.93562599999,165500,7,4,239.7894
2023-04-16,rewarded video,Tier 3,534.004927999999,26380,155,4,7.96
2023-04-16,banner display,Tier 1,481.826408,20040,0,0,0.0
2023-04-16,rewarded video,Tier 1,607.906513,2034,11,2,3.98
2023-04-16,rewarded video,Tier 2,5092.88590999999,18867,93,63,280.044999999999
2023-04-17,rewarded video,Tier 3,493.546639999999,24246,146,1,1.99
2023-04-17,banner display,Tier 2,2309.47774,161910,6,2,69.6861
2023-04-17,interstitial display,Tier 1,162.267312999999,1509,5,0,0.0
2023-04-17,rewarded video,Tier 2,5182.253026,20368,120,89,328.066
2023-04-17,banner display,Tier 1,438.696957,17020,0,2,126.815999999999
2023-04-17,rewarded video,Tier 1,606.441211999999,2071,23,19,336.81
2023-04-17,interstitial display,Tier 2,4949.25123099999,34055,86,28,139.697999999999
2023-04-17,interstitial display,Tier 3,777.230385999999,52954,413,3,5.97
2023-04-18,banner display,Tier 1,393.867405,16520,0,0,0.0
2023-04-18,rewarded video,Tier 2,5142.587479,19988,112,64,258.329
2023-04-18,rewarded video,Tier 3,400.022182,19578,112,1,1.99
2023-04-18,rewarded video,Tier 1,598.447259999999,2018,12,15,1226.85
2023-04-18,banner display ,Tier 1,2665.26,100,1,0,0.0
2023-04-18,interstitial display,Tier 1,167.069453,1472,15,3,3.479
2023-04-18,interstitial display,Tier 2,4756.810958,32769,85,62,659.320999999999
2023-04-18,interstitial display,Tier 3,752.857240999999,51306,412,2,3.683
2023-04-18,banner display,Tier 2,2149.554393,146860,6,2,18.7962
2023-04-19,rewarded video,Tier 3,400.293041999999,17527,87,0,0.0
2023-04-19,interstitial display,Tier 2,5121.96853799999,34833,76,49,348.518
2023-04-19,interstitial display,Tier 3,727.05066,49558,386,5,25.165
2023-04-19,banner display,Tier 1,332.617913,14220,0,0,2.985
2023-04-19,rewarded video,Tier 1,492.933804,1750,9,5,15.95
2023-04-19,rewarded video,Tier 2,5411.528107,20864,110,50,279.384
2023-04-19,banner display,Tier 2,2176.626193,147080,6,2,36.5951999999999
2023-04-19,interstitial display,Tier 1,164.320200999999,1459,13,5,13.965
2023-04-20,rewarded video,Tier 3,327.633538,14417,85,8,25.9199999999999
2023-04-20,rewarded video,Tier 1,387.983643,1453,4,2,6.98
2023-04-20,interstitial display,Tier 1,153.726776999999,1484,11,2,4.186
2023-04-20,banner display,Tier 1,263.198941999999,11230,0,0,1.194
2023-04-20,interstitial display,Tier 2,5402.538431,36205,96,71,1225.19102099999
2023-04-20,banner display,Tier 2,2107.913715,148070,5,1,14.2526999999999
2023-04-20,rewarded video,Tier 2,5516.98236,21498,96,77,831.029
2023-04-20,interstitial display,Tier 3,710.32519,48041,372,0,0.0
2023-04-21,rewarded video,Tier 1,437.639863,1500,4,3,15.97
2023-04-21,rewarded video,Tier 2,5563.983318,21608,102,37,177.575
2023-04-21,interstitial display,Tier 2,5238.289807,34277,89,31,197.165
2023-04-21,rewarded video,Tier 3,346.069511999999,15491,78,0,0.0
2023-04-21,interstitial display,Tier 1,152.324881999999,1359,12,2,6.286
2023-04-21,interstitial display,Tier 3,715.883832,48912,334,2,2.786
2023-04-22,interstitial display,Tier 2,5496.474833,35201,87,47,227.135
2023-04-22,rewarded video,Tier 3,350.514254999999,15477,89,0,0.0
2023-04-22,rewarded video,Tier 1,437.021794,1521,9,7,104.929999999999
2023-04-22,interstitial display,Tier 1,159.910481,1460,6,0,0.0
2023-04-22,interstitial display,Tier 3,747.467505999999,50155,385,0,0.0
2023-04-22,rewarded video,Tier 2,5568.80484599999,21704,95,84,367.341
2023-04-23,rewarded video,Tier 1,488.781521,1616,12,11,120.889999999999
2023-04-23,interstitial display,Tier 2,5463.81797699999,34824,119,56,444.162999999999
2023-04-23,interstitial display,Tier 1,160.733099,1404,11,3,154.97
2023-04-23,interstitial display,Tier 3,749.683948,51224,429,0,0.0
2023-04-23,rewarded video,Tier 2,5664.674825,21798,123,86,395.518
2023-04-23,rewarded video,Tier 3,373.104364999999,16399,107,1,1.99
2023-04-24,rewarded video,Tier 3,406.020563999999,17346,99,1,1.99
2023-04-24,interstitial display,Tier 2,5513.875815,35722,90,38,179.313
2023-04-24,rewarded video,Tier 1,475.832633,1713,7,2,6.98
